X,Y,y3_hhid,lat_mod,lon_mod,DN,Label,Description
35.69971,-4.18987,3293-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3294-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3295-001,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
35.69971,-4.18987,3296-003,-4.18987,35.69971,100,Unsuit,Unsuitable for crops
39.81118,-5.1925,3768-011,-5.1925,39.81118,100,Unsuit,Unsuitable for crops
39.00516,-8.26455,3774-004,-8.26455,39.00516,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3843-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3844-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3845-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3846-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3847-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3848-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3849-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3850-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
39.82649,-5.24215,3851-001,-5.24215,39.82649,100,Unsuit,Unsuitable for crops
34.31791,-4.13178,2247-001,-4.13178,34.31791,101,Water,Offset places HH location into water body
31.53356,-1.41681,2929-001,-1.41681,31.53356,101,Water,Offset places HH location into water body
31.88562,-1.62975,2938-004,-1.62975,31.88562,101,Water,Offset places HH location into water body
32.1056,-2.40341,3116-001,-2.40341,32.1056,101,Water,Offset places HH location into water body
31.56986,-1.54065,3255-003,-1.54065,31.56986,101,Water,Offset places HH location into water body
35.37535,-4.41602,3314-003,-4.41602,35.37535,101,Water,Offset places HH location into water body
36.83755,-6.40603,43043,-6.40603,36.83755,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0019-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0019-003,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0021-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0022-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0023-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0024-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0026-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
36.50866,-6.61401,0027-001,-6.61401,36.50866,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0057-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0058-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0059-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0059-002,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0061-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0064-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0065-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0066-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.64825,-6.37526,0067-001,-6.37526,35.64825,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0102-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0103-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0105-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
36.01815,-2.99751,0106-001,-2.99751,36.01815,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0107-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0108-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0109-001,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
35.9282,-3.20438,0109-003,-3.20438,35.9282,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0110-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0111-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0112-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0113-002,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0113-003,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0114-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0115-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0116-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0117-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0118-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0119-001,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0120-002,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
36.01396,-2.99639,0120-003,-2.99639,36.01396,102,lo-lo,"Low agricultural potential, Low market access"
35.71851,-3.36435,0185-001,-3.36435,35.71851,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0190-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0191-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
35.70721,-3.37219,0192-001,-3.37219,35.70721,102,lo-lo,"Low agricultural potential, Low market access"
