hhid,hc_seq_5m,res03_crav6190l_silr_cer
07020200580016,5018150,4
07020200580035,5018150,4
07020200580045,5018150,4
07020200580050,5018150,4
07020200580075,5018150,4
07020200580084,5018150,4
07020200580088,5018150,4
07020200580110,5018150,4
07030010750012,5018151,
07030010750069,5018151,
07030010750071,5018151,
07030010750081,5018151,
07030010750087,5018151,
07030010750117,5018151,
07030010750128,5018151,
07030010750134,5018151,
07030020040050,5022471,4
07030020040088,5022471,4
07030020040148,5022471,4
07030020040161,5022471,4
07030020040206,5022471,4
07030020040217,5022471,4
07030020040263,5022471,4
07030020040297,5022471,4
07030030010044,5022472,
07030030010115,5022472,
07030030010124,5022472,
07030030010175,5022472,
07030030010317,5022472,
07030030010419,5022472,
07030030010483,5022472,
07030030010685,5022472,
07030030020004,5022472,
07030030020125,5022472,
07030030020163,5022472,
07030030020224,5022472,
07030030020232,5022472,
07030030020258,5022472,
07030030020309,5022472,
07030030020353,5022472,
07030070490001,5022471,4
07030070490027,5022471,4
07030070490031,5022471,4
07030070490044,5022471,4
07030070490047,5022471,4
07030070490059,5022471,4
07030070490104,5022471,4
07030070490171,5022471,4
07030100030001,5026791,4
07030100030078,5026791,4
07030100030088,5026791,4
07030100030102,5026791,4
07030100030104,5026791,4
07030100030124,5026791,4
07030100030143,5026791,4
07030100030152,5026791,4
07030101880006,5026791,4
07030101880008,5026791,4
07030101880009,5026791,4
07030101880056,5026791,4
07030101880083,5026791,4
07030101880084,5026791,4
07030101880092,5026791,4
07030101880105,5026791,4
07030120480005,5022471,4
07030120480006,5022471,4
07030120480012,5022471,4
07030120480033,5022471,4
07030120480037,5022471,4
07030120480091,5022471,4
07030120480128,5022471,4
07030130530027,5022471,4
07030130530033,5022471,4
07030130530034,5022471,4
07030130530045,5022471,4
07030130530048,5022471,4
07030130530078,5022471,4
07030130530100,5022471,4
07030130530102,5022471,4
07030140590006,5022471,4
07030140590035,5022471,4
07030140590045,5022471,4
07030140590050,5022471,4
07030140590084,5022471,4
07030140590088,5022471,4
07030140590094,5022471,4
07030140590110,5022471,4
07030171200012,5022471,4
07030171200021,5022471,4
07030171200034,5022471,4
07030171200050,5022471,4
07030171200061,5022471,4
07030171200064,5022471,4
07030171200065,5022471,4
